Fecha,ABC.A,ARC.B,BNC,BPV,BVCC,BVL,CCP.B,CCR,CGQ,CRM.A,DOM,EFE,ENV,FNC,GMC.B,GZL,ICP.B,IMP.B,IVC.A,IVC.B,MPA,MTC.B,MVZ.A,MVZ.B,PCP.B,PGR,PTN,RST,RST.B,SVS,TDV.D,TPG,PER,PIV.B
2025-12-10,0,1001.0,-109,19,-2,-5,-16,0,-10,12,-101,-2,-1,-251,0,0,0.0,20001.0,-44,411,35,-11,-100,-45,2,-4,-105,231,1,1585,-25,-65,,
2025-12-11,0,,0,-9,399,0,395,0,0,12,-4,-19,-29,0,100,0,8.0,,-10,11,-65,-199,-1,0,19,-5,-2,-2,1,1515,-5,-21,2.0,0.0
2025-12-12,0,-2999.0,-5,-3,98,-1,95,-1399,0,-5,499,1,0,0,-50,0,5.0,0.0,-725,274,97,0,-499,-6,201,4,-501,0,-53,-25,375,-9,,
2025-12-15,-8,1501.0,-495,-2,194,-9,-89,-600,-1,2449,-7,-2,-5,0,-200,0,0.0,0.0,-19,174,-25,-4,-101,-145,2289,15,-3,-5,-17,5,12,-1,,0.0
2025-12-16,0,2495.0,35,-1,2,8,0,975,-8,499,13,-161,105,6,200,0,-5.0,,5999,273,24,-4,-1399,-101,19,-215,1499,4,-231,0,-4,1,,0.0
2025-12-17,10,2495.0,896,-109,-65,88,-56,489,251,999,135,-9,39,1,200,-1,0.0,,-1199,273,101,-95,-505,-2699,-1299,-1,-99,0,-25,0,-6,-2,,1499.0
2025-12-18,0,30.0,20,7,201,181,-4,-988,44,-1,155,29,0,1,0,0,,,-299,-998,85,0,1199,5801,-1,-49,0,0,374,27,2,-1,,600.0
2025-12-19,25,30.0,31,249,901,2119,-6,-2,-19,1,20,4,1411,-1,0,10,6.0,9999.0,-9,-298,65,2,11209,-42,20,5,141,6,102,1499,21,29,,-1000.0
2025-12-22,1,,0,-298,976,-29,-5,-200,1,0,-1,2,21,0,0,21,146.0,,1,0,75,-46,0,7951,20,1,0,5,-1,20,-1,45,,1359.0
2025-12-23,14,0.0,149,0,-975,3,71,0,0,-996,-2,-205,0,2,50,-1,-86.0,,-305,3,0,2144,-1199,6949,15,99,105,0,-3,-501,-799,-46,,-31001.0
