Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,299.99,87071.2,0,279
2025-11-19,290.0,441800.78,15,1539
2025-11-20,295.0,765594.0,15,2991
2025-11-21,285.0,129009.0,15,451
2025-11-25,270.0,120630.58,25,424
2025-11-26,275.0,146882.0,25,518
2025-11-27,280.01,24398.34,-10,85
2025-11-28,295.0,1770640.0,15,6412
2025-12-01,285.01,166685.05,-999,565
2025-12-02,280.0,52070.5,-10,182
2025-12-03,275.0,43945.0,-15,155
2025-12-04,290.0,192626.05,0,669
2025-12-06,290.0,121778.69,0,415
2025-12-09,288.0,171995.0,-2,595
2025-12-10,288.0,114102.0,0,404
2025-12-11,280.0,49838.0,0,173
2025-12-13,290.0,159406.0,0,555
2025-12-15,280.0,151911.64,-8,556
2025-12-16,280.0,111594.33,0,387
2025-12-17,290.0,167920.0,10,574
2025-12-18,290.0,249760.0,0,875
2025-12-19,315.0,189683.0,25,643
2025-12-22,316.0,233481.0,1,748
2025-12-23,330.0,50305.0,14,152
