Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,300.0,6298.0,,
2025-11-19,315.0,3150.0,,
2025-11-20,315.0,3520.08,,
2025-11-21,315.0,5040.0,,
2025-11-25,325.0,10400.0,,
2025-11-26,325.0,5525.0,,
2025-11-27,290.0,1915.0,,
2025-11-28,325.0,2275.0,25.0,7.0
2025-12-01,325.0,47450.0,25.0,146.0
2025-12-02,325.0,2600.1,0.0,11.0
2025-12-03,335.0,16644.88,10.0,49.0
2025-12-04,350.0,1400.0,1001.0,4.0
2025-12-06,350.0,1750.0,1001.0,5.0
2025-12-09,300.0,4800.0,-3999.0,14.0
2025-12-10,350.0,1050.0,1001.0,3.0
2025-12-13,310.0,1630.0,-2999.0,5.0
2025-12-15,355.0,4114765.0,1501.0,11430.0
2025-12-16,439.95,211094.63,2495.0,508.0
2025-12-17,439.95,2199.75,2495.0,5.0
2025-12-18,445.0,6230.0,30,14
