Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,433.0,,,
2025-11-19,440.0,,,
2025-11-20,437.0,,,
2025-11-21,434.95,,,
2025-11-25,430.0,,,
2025-11-26,424.99,,,
2025-11-27,429.0,14062400.29,2.0,274914.0
2025-11-28,54.4,1868386.92,-1.0,34318.0
2025-12-01,54.5,1069257.24,15.0,19549.0
2025-12-02,52.97,2213429.88,-153.0,42263.0
2025-12-03,55.0,40927337.55,203.0,737527.0
2025-12-04,53.5,1338746.3,-15.0,24834.0
2025-12-06,50.0,12498856.84,-35.0,246080.0
2025-12-09,50.0,6823910.17,-2,132445
