Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,138.97,4063500.96,,
2025-11-19,138.82,744581.8,,
2025-11-20,144.5,5032176.11,,
2025-11-21,144.95,3909320.37,,
2025-11-25,135.0,3997092.58,,
2025-11-26,137.7,115116580.31,,
2025-11-27,138.94,9314917.87,125.0,69587.0
2025-11-28,139.0,24276527.18,7.0,172012.0
2025-12-01,138.0,542646.7,-1.0,3903.0
2025-12-02,138.95,2641607.79,-55.0,20117.0
2025-12-03,138.0,7718750.98,-95.0,55905.0
2025-12-04,137.0,6814860.08,-145.0,48685.0
2025-12-06,141.0,2664517.67,4.0,19376.0
2025-12-09,137.0,6212628.75,-4.0,45257.0
2025-12-10,135.0,2347092.9,-2.0,17386.0
2025-12-11,136.99,10391593.13,399.0,76197.0
2025-12-13,137.98,692216.64,98.0,5105.0
2025-12-15,139.92,15461532.52,194.0,98205.0
2025-12-16,139.65,13817946.46,2.0,84197.0
2025-12-17,138.99,8124787.01,-65.0,58450.0
2025-12-18,141.0,5370332.1,201.0,37869.0
2025-12-19,149.99,1134904.62,901.0,7927.0
2025-12-22,159.75,137861643.52,976.0,869416.0
2025-12-23,150.0,3928143.61,-975,27464
