Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,271.03,,,
2025-11-19,284.0,,,
2025-11-20,282.0,,,
2025-11-21,280.0,,,
2025-11-25,270.0,,,
2025-11-26,275.0,,,
2025-11-27,282.0,848781.26,-295.0,3129.0
2025-11-28,280.0,650855.0,-2.0,2363.0
2025-12-01,280.0,163408.73,0.0,584.0
2025-12-02,274.0,714735.0,-6.0,2643.0
2025-12-03,279.0,1322199.09,5.0,4843.0
2025-12-04,279.0,815265.0,15.0,3009.0
2025-12-06,284.9,226807.8,59.0,824.0
2025-12-09,280.0,1250717.81,-5,4520
