Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,49.99,163815.22,,
2025-11-19,48.45,89765.24,,
2025-11-20,48.0,48231.82,,
2025-11-21,50.0,17963.75,,
2025-11-25,44.79,196546.48,,
2025-11-26,45.45,384780.35,,
2025-11-27,44.48,134494.39,-141.0,3263.0
2025-11-28,44.0,49685.51,-48.0,1117.0
2025-12-01,44.0,203708.83,5.0,4492.0
2025-12-02,42.0,384557.38,-2.0,9275.0
2025-12-03,40.0,203434.46,-2.0,6261.0
2025-12-04,40.0,71679.33,-1.0,1752.0
2025-12-06,40.0,93358.05,0.0,2328.0
2025-12-09,38.98,1312479.45,-102.0,51653.0
2025-12-10,38.84,188798.99,-16.0,5364.0
2025-12-11,38.95,92832.29,395,2427
