Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,8195.0,,,
2025-11-19,7000.0,,,
2025-11-20,7000.0,,,
2025-11-21,7000.0,,,
2025-11-25,0.0,,,
2025-11-26,0.0,,,
2025-11-27,8200.0,1572200.0,0.0,231.0
2025-11-28,9000.0,1560575.0,800.0,228.0
2025-12-01,9500.0,76499.0,500.0,8.0
2025-12-02,8000.0,75000.0,-1500.0,9.0
2025-12-03,6500.0,291900.0,-1500.0,42.0
2025-12-06,8000.0,8000.0,1000.0,1.0
2025-12-09,6000.0,222000.0,-1000.0,36.0
2025-12-10,6000.0,191750.0,0.0,32.0
2025-12-11,6000.0,46200.0,0.0,8.0
2025-12-13,5600.0,287600.0,-1399.0,50.0
2025-12-15,5000.0,162550.0,-600,32
