Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,380.0,38985.0,,
2025-11-19,378.0,234007.06,,
2025-11-20,409.0,16609.0,,
2025-11-21,400.0,3930.0,,
2025-11-25,410.0,43601.0,,
2025-11-26,410.0,60499.01,,
2025-11-27,400.0,3649.99,-10.0,9.0
2025-11-28,400.0,17600.0,-10.0,44.0
2025-12-01,400.0,31443.24,0.0,84.0
2025-12-02,350.0,43040.54,-50.0,120.0
2025-12-03,389.95,4699.45,3995.0,12.0
2025-12-04,380.0,37840.0,30.0,95.0
2025-12-06,384.99,55439.96,-1501.0,144.0
2025-12-09,375.0,7515.0,-999.0,20.0
2025-12-10,374.99,37856.38,-10.0,101.0
2025-12-11,374.99,11880.85,0.0,32.0
2025-12-13,374.99,5579.86,0.0,15.0
2025-12-15,374.98,23469.46,-1,64
