Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,38.5,61033.0,,
2025-11-19,38.0,64482.5,,
2025-11-20,37.0,28014.0,,
2025-11-21,38.0,34112.35,,
2025-11-25,37.5,92536.4,,
2025-11-26,32.0,1082158.7,,
2025-11-27,36.0,27291.0,0.0,752.0
2025-11-28,36.5,62995.74,5.0,1733.0
2025-12-01,36.0,57955.3,-49.0,1606.0
2025-12-02,35.9,45284.91,-1.0,1270.0
2025-12-03,36.0,42992.9,1.0,1193.0
2025-12-04,36.5,89396.0,5.0,2483.0
2025-12-06,35.5,43984.5,-5.0,1233.0
2025-12-09,39.0,48293.2,251.0,1269.0
2025-12-10,38.9,84778.45,-2.0,2188.0
2025-12-11,37.0,41812.5,-19.0,1089.0
2025-12-13,38.9,41201.8,1.0,1072.0
2025-12-15,38.68,88987.96,-2,2461
