Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,2550.0,,,
2025-11-19,2550.0,,,
2025-11-20,2550.0,,,
2025-11-21,2550.0,,,
2025-11-25,2400.0,,,
2025-11-26,2600.0,,,
2025-11-27,2600.0,23400.0,50.0,9.0
2025-11-28,2600.0,36400.0,0.0,14.0
2025-12-01,2650.0,21200.0,50.0,8.0
2025-12-02,2650.0,79500.0,0.0,30.0
2025-12-03,2649.99,18549.9,-1.0,7.0
2025-12-04,2650.0,76700.0,0.0,29.0
2025-12-09,2500.0,31650.0,-150.0,12.0
2025-12-10,2650.0,78750.0,0.0,30.0
2025-12-11,2750.0,30248.0,100.0,11.0
2025-12-13,2700.0,10950.0,-50.0,4.0
2025-12-15,2550.0,34500.0,-200.0,13.0
2025-12-16,2750.0,54550.0,200.0,21.0
2025-12-17,2750.0,40870.0,200.0,15.0
2025-12-18,2750.0,2750.0,0.0,1.0
2025-12-19,2750.0,57750.0,0.0,21.0
2025-12-22,2750.0,96245.0,0,35
