Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,120.0,15984.0,,
2025-11-19,113.99,18937.54,,
2025-11-20,113.0,49954.99,,
2025-11-21,110.0,44832.0,,
2025-11-25,107.0,12512.32,,
2025-11-26,89.3,18147.58,,
2025-11-27,107.0,31317.0,7.0,293.0
2025-11-28,107.99,7127.35,99.0,66.0
2025-12-01,108.0,6550.5,1.0,59.0
2025-12-02,106.0,31609.0,-1.0,298.0
2025-12-03,107.0,12056.5,1.0,112.0
2025-12-04,99.0,32657.75,-7.0,323.0
2025-12-06,99.0,19899.0,0.0,200.0
2025-12-09,99.0,16077.98,0.0,170.0
2025-12-10,99.0,14574.0,0.0,148.0
2025-12-11,99.0,23089.59,0.0,235.0
2025-12-13,99.0,19800.0,0.0,200.0
2025-12-15,99.0,22896.0,0.0,236.0
2025-12-16,99.0,9322.6,0.0,95.0
2025-12-17,98.0,11797.0,-1.0,120.0
2025-12-18,99.0,21977.85,0.0,222.0
2025-12-19,109.0,30573.0,10,294
