Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-18,470.0,31898.69,,
2025-11-19,465.0,46942.45,,
2025-11-20,470.0,1884.99,,
2025-11-21,444.0,18476.98,,
2025-11-25,436.0,73989.41,,
2025-11-26,428.99,15675.0,,
2025-11-27,150.0,101785.0,,
2025-11-28,419.99,12599.7,-20.0,30.0
2025-12-01,352.01,34813.06,-8798.0,89.0
2025-12-02,398.99,17006.83,4698.0,46.0
2025-12-03,394.0,17777.92,42.0,50.0
2025-12-04,350.0,27442.83,-2.0,76.0
2025-12-06,398.99,4391.92,4899.0,11.0
2025-12-09,305.0,4145.98,-45.0,12.0
2025-12-10,306.0,30000.15,-44.0,25.0
2025-12-11,340.0,7820.0,-10.0,24.0
2025-12-13,340.0,49730.0,-725.0,145.0
2025-12-15,380.0,33441.3,-19.0,92.0
2025-12-16,380.0,35521.59,5999.0,93.0
2025-12-17,370.0,11382.0,-1199,31
