Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,15.85,76142.67,1,4894
2025-11-28,15.5,91590.54,5,5927
2025-12-01,15.9,176265.6,4,11042
2025-12-02,15.0,1395508.0,-9,87817
2025-12-03,15.9,70477.9,7,4460
2025-12-04,15.5,37990.5,-4,2451
2025-12-06,15.94,369776.53,44,23908
2025-12-09,16.5,96552.05,56,5801
2025-12-10,16.85,33110.3,35,1974
2025-12-11,16.15,1307981.86,-65,79157
2025-12-13,16.98,2595626.95,97,160429
2025-12-15,16.25,120449.03,-25,7156
2025-12-16,16.49,301272.14,24,18327
2025-12-17,17.5,242214.31,101,14607
2025-12-18,17.35,17483.8,85,1008
