Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,77.98,11044.29,-27,144
2025-11-28,77.27,10727.08,-98,138
2025-12-01,77.0,11985.2,-125,157
2025-12-02,65.0,32865.61,-1325,437
2025-12-03,75.0,12930.51,-199,172
2025-12-04,74.98,30954.81,-201,406
2025-12-06,73.99,14240.12,-249,193
2025-12-09,73.09,137763.25,-339,1865
2025-12-10,71.99,19558.21,-11,269
2025-12-11,70.0,5002.07,-199,70
2025-12-13,71.99,6551.09,0,91
2025-12-15,71.95,13310.57,-4,185
2025-12-16,71.95,28617.76,-4,405
2025-12-17,71.0,22976.5,-95,320
