Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,1349.99,655837.19,2499,501
2025-11-28,1344.99,667075.1,-5,505
2025-12-01,1350.0,93001.9,501,68
2025-12-02,1344.99,344447.19,-501,259
2025-12-03,1300.0,143700.0,-46,110
2025-12-04,1339.99,71663.58,3999,55
2025-12-06,1345.99,95368.62,6,71
2025-12-09,1448.49,367938.68,10251,276
2025-12-10,1300.0,372702.03,-100,284
2025-12-11,1299.99,748059.79,-1,608
2025-12-13,1295.0,879572.16,-499,729
2025-12-15,1293.99,93117.88,-101,69
2025-12-16,1280.0,673124.73,-1399,537
2025-12-17,1274.95,252595.05,-505,197
2025-12-18,1286.99,180882.28,1199,141
2025-12-19,1398.99,321549.42,11209,233
2025-12-22,1399.99,649384.78,0,474
2025-12-23,1388.0,20429878.74,-1199,16991
