Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,1382.39,707714.11,8239,543
2025-11-28,1381.99,2667260.23,-4,1930
2025-12-01,1300.0,39374.95,-8199,30
2025-12-02,1200.0,146774.49,-100,113
2025-12-03,1369.98,44969.49,16998,33
2025-12-04,1339.0,101793.67,-3098,75
2025-12-06,1339.45,19814.23,45,15
2025-12-09,1299.99,38571.79,-3945,29
2025-12-10,1295.49,319171.24,-45,258
2025-12-11,1294.5,82573.5,0,67
2025-12-13,1294.44,58214.28,-6,45
2025-12-15,1293.0,88023.8,-145,68
2025-12-16,1291.99,185887.07,-101,150
2025-12-17,1265.0,14061.86,-2699,11
2025-12-18,1350.0,78553.48,5801,61
2025-12-19,1244.99,676922.3,-42,573
2025-12-22,1324.5,753873.72,7951,661
