Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,104.99,44390.07,1399,444
2025-11-28,99.0,80802.41,-588,801
2025-12-01,99.0,49601.6,0,533
2025-12-02,98.0,185799.14,-1,1937
2025-12-03,97.95,31698.13,-5,322
2025-12-04,94.0,73456.0,-395,781
2025-12-06,99.0,17325.0,0,175
2025-12-09,99.0,34472.0,0,349
2025-12-10,106.0,59423.7,2,567
2025-12-11,125.0,57592.4,19,485
2025-12-13,140.0,27118.55,201,226
2025-12-15,142.89,119895.05,2289,925
2025-12-16,119.0,24647.05,19,225
2025-12-17,105.01,95803.71,-1299,902
2025-12-18,105.0,79320.0,-1,753
2025-12-19,125.0,200190.5,20,1886
2025-12-22,125.0,111196.39,20,929
