Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,46.3,93509.64,-68,2019
2025-11-28,48.5,87785.86,22,1906
2025-12-01,44.5,74807.94,-4,1629
2025-12-02,50.0,1867822.28,202,40332
2025-12-03,48.5,38791.76,-15,771
2025-12-04,49.8,7614691.4,-17,169189
2025-12-06,49.4,36455.83,4,758
2025-12-09,49.99,50101.69,59,990
2025-12-10,49.95,76544.58,-4,1555
2025-12-11,49.9,33242.58,-5,739
2025-12-13,49.0,111259.04,4,2224
2025-12-15,49.15,108658.33,15,2230
2025-12-16,47.0,230651.7,-215,4863
2025-12-17,46.99,88207.39,-1,1883
