Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,13495.0,130085.0,45,10
2025-11-28,13500.0,390000.0,50,35
2025-12-01,13500.0,94500.0,0,7
2025-12-02,13500.0,231000.0,0,21
2025-12-03,13500.0,67500.0,0,5
2025-12-04,13500.0,121000.0,0,11
2025-12-06,14000.0,234000.0,500,21
2025-12-09,13000.0,52600.0,-500,4
2025-12-11,13000.0,25500.0,0,2
2025-12-15,13000.0,65000.0,0,5
2025-12-16,13000.0,269897.0,0,20
2025-12-17,13599.99,13599.99,1499,1
2025-12-18,13600.0,163193.99,600,12
2025-12-19,12600.0,212600.0,-1000,17
2025-12-22,14959.0,28262797.0,1359,2082
2025-12-23,14648.99,206306.93,-31001,14
