Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,165.0,131660.5,992,827
2025-11-28,160.0,324708.55,-5,2084
2025-12-01,162.0,51536.0,2,307
2025-12-02,160.0,85038.0,0,533
2025-12-03,160.0,29956.39,7,189
2025-12-04,160.0,341102.0,0,2173
2025-12-06,160.0,18310.1,0,115
2025-12-09,167.5,299967.08,75,1904
2025-12-10,157.0,125921.87,-105,802
2025-12-11,155.0,172847.85,-2,1154
2025-12-13,149.99,135141.92,-501,930
2025-12-15,142.0,233104.24,-3,1729
2025-12-16,154.99,106852.9,1499,700
2025-12-17,154.0,76286.88,-99,493
2025-12-18,154.9,255189.1,0,1688
