Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,69.0,813637.19,0,12078
2025-11-28,68.75,690581.6,-24,10118
2025-12-01,69.95,466634.77,11,6738
2025-12-02,68.0,1264850.46,-199,19443
2025-12-03,67.9,1083192.46,19,16548
2025-12-04,66.0,451383.11,1,6880
2025-12-06,66.7,700924.01,-13,10579
2025-12-09,66.69,407669.72,-1,6169
2025-12-10,69.0,197842.29,231,2954
2025-12-11,67.0,138946.1,-2,2071
2025-12-13,67.0,310627.57,0,4663
2025-12-15,66.5,877084.13,-5,15289
2025-12-16,66.9,240172.78,4,3635
2025-12-17,66.99,1023967.67,0,15215
2025-12-18,68.0,2005555.04,0,30075
2025-12-19,75.0,120422514.76,6,2204859
2025-12-22,75.0,286945.25,5,3898
