Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,77.0,29335.51,0,381
2025-11-28,77.0,1921157.66,1,30721
2025-12-01,84.9,715684.5,79,9072
2025-12-02,90.0,350096.0,7,4031
2025-12-03,105.0,155170.0,15,1516
2025-12-04,110.0,28120.7,10,252
2025-12-06,114.0,172810.25,4,1517
2025-12-09,134.0,80210.5,1975,605
2025-12-10,149.85,56965.7,1585,379
2025-12-11,165.0,153075.43,1515,953
2025-12-13,162.5,414549.85,-25,2582
2025-12-15,165.0,156129.55,5,1050
2025-12-16,165.0,422115.24,0,2556
2025-12-17,165.0,413458.77,0,2508
2025-12-18,167.7,683213.37,27,4172
2025-12-19,179.99,463399.97,1499,2812
2025-12-22,185.0,9570462.77,20,55871
2025-12-23,179.99,74259.54,-501,409
