Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,125.0,1230828.5,-3,9309
2025-11-28,127.9,1439432.11,29,11960
2025-12-01,130.0,670920.5,21,5355
2025-12-02,129.95,110427.1,-5,853
2025-12-03,129.95,481129.3,0,3888
2025-12-04,127.89,583672.87,289,4694
2025-12-06,129.8,247214.14,48,1919
2025-12-09,127.5,221133.12,-15,1734
2025-12-10,125.0,659439.17,-25,5427
2025-12-11,120.0,1145929.85,-5,9487
2025-12-13,123.75,288171.0,375,2384
2025-12-15,124.95,60053.46,12,478
