Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,6.65,53965.13,-25.0,7859.0
2025-11-28,6.65,167810.17,0.0,25196.0
2025-11-18,,,,
2025-11-19,,,,
2025-11-20,,,,
2025-11-21,,,,
2025-11-25,,,,
2025-11-26,,,,
2025-12-01,6.5,108903.98,-15.0,16831.0
2025-12-02,6.5,323979.1,5.0,52096.0
2025-12-03,6.8,169002.45,3.0,25851.0
2025-12-04,6.5,43478.5,-27.0,6445.0
2025-12-06,6.95,44192.5,27.0,6418.0
2025-12-09,6.8,79255.6,-15.0,11482.0
2025-12-10,6.2,133692.9,-65.0,22252.0
2025-12-11,5.99,73480.25,-21.0,11590.0
2025-12-13,5.89,235718.65,-9.0,40976.0
2025-12-15,5.79,252743.7,-1,43496
