Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2025-04-29,40.099998474121094,42.7400016784668,40.349998474121094,40.349998474121094,28844
2025-04-30,40.349998474121094,42.70000076293945,42.70000076293945,42.70000076293945,794
2025-05-02,42.58000183105469,42.7400016784668,42.58000183105469,42.58000183105469,112
2025-05-05,42.58000183105469,42.7400016784668,42.7400016784668,42.58000183105469,1175
2025-05-06,42.54999923706055,42.599998474121094,41.0,42.54999923706055,59
2025-05-07,42.54999923706055,42.0,41.9900016784668,42.0,8797922
2025-05-08,42.0,42.0,39.5,42.0,125
2025-05-09,42.0,39.5,39.5,39.5,100
2025-05-12,39.5,40.79999923706055,39.5,39.5,750
2025-05-13,39.5,40.0,39.5,39.5,335
2025-05-14,41.0,41.0,41.0,41.0,3940
2025-05-15,41.0,41.0,38.0,41.0,27761
2025-05-16,41.0,45.0,41.0,45.0,449
2025-05-19,45.0,53.5,53.5,45.0,8
2025-05-20,45.150001525878906,53.5,45.0,45.150001525878906,2976
2025-05-21,45.150001525878906,53.5,49.0,49.0,122
2025-05-22,49.0,58.0,57.0,49.0,15
2025-05-23,57.0,57.0,49.0,57.0,55
2025-05-26,58.0,60.0,57.0,58.0,56
2025-05-27,58.0,58.0,58.0,58.0,23
2025-05-28,58.0,58.0,55.5,55.5,195
2025-05-29,55.5,55.5,54.5,55.5,279
2025-05-30,56.0,56.0,54.95000076293945,56.0,120
2025-06-03,56.0,56.0,56.0,56.0,27163
2025-06-04,56.0,56.0,54.0,54.9900016784668,4300
2025-06-05,54.9900016784668,58.0,58.0,58.0,150
2025-06-06,58.0,60.0,58.0,58.0,1083780
2025-06-09,58.0,57.97999954223633,47.0,57.97999954223633,40004
2025-06-10,57.97999954223633,59.849998474121094,51.5,51.5,749
2025-06-11,51.5,56.0,55.95000076293945,55.95000076293945,168
2025-06-12,55.95000076293945,56.0,52.0,55.70000076293945,10515
2025-06-13,55.70000076293945,55.4900016784668,54.790000915527344,54.790000915527344,12518
2025-06-17,54.790000915527344,54.689998626708984,50.0,54.689998626708984,2500
2025-06-18,54.0,54.0,53.9900016784668,54.0,34246
2025-06-19,54.0,53.9900016784668,52.0,54.0,1456
2025-06-20,54.0,54.790000915527344,54.790000915527344,54.790000915527344,425
2025-06-25,53.0,60.0,52.25,53.0,2128
2025-06-26,51.5,53.5,51.5,51.5,1363
2025-06-27,58.0,58.0,57.97999954223633,58.0,128784
2025-06-30,58.0,57.470001220703125,57.45000076293945,57.470001220703125,5000
2025-07-01,57.470001220703125,57.45000076293945,57.400001525878906,57.400001525878906,157
2025-07-02,57.400001525878906,56.400001525878906,50.25,50.529998779296875,62
2025-07-03,50.529998779296875,54.0,50.5,50.5,208
2025-07-04,50.5,58.0,54.0,54.0,5
2025-07-07,54.0,54.5,54.5,54.0,33
2025-07-08,54.0,54.0,53.0,53.0,1074
2025-07-09,53.0,56.0,51.0,51.0,1280
2025-07-10,51.0,58.0,52.0,52.0,807
2025-07-11,52.0,56.0,56.0,52.0,25
2025-07-14,52.0,55.5,53.5,55.5,66
2025-07-15,55.5,57.0,55.5,55.5,70
2025-07-16,55.5,56.75,56.75,55.5,25
2025-07-17,55.5,57.0,52.0,57.0,1395
2025-07-18,57.0,63.0,63.0,63.0,212
2025-07-21,63.0,61.97999954223633,61.959999084472656,61.959999084472656,14
2025-07-22,61.959999084472656,61.279998779296875,54.0,57.75,1633
2025-07-23,57.75,59.9900016784668,57.5,59.9900016784668,477
2025-07-25,59.9900016784668,59.4900016784668,53.0099983215332,59.38999938964844,1228
2025-07-28,59.38999938964844,58.900001525878906,54.0,58.88999938964844,639
2025-07-29,58.88999938964844,58.880001068115234,58.880001068115234,58.880001068115234,179
2025-07-30,58.880001068115234,58.790000915527344,58.790000915527344,58.790000915527344,300
2025-07-31,58.790000915527344,59.97999954223633,57.97999954223633,59.97999954223633,214
2025-08-01,59.97999954223633,59.9900016784668,59.95000076293945,59.97999954223633,53
2025-08-04,59.95000076293945,59.95000076293945,59.95000076293945,59.95000076293945,210
2025-08-05,59.95000076293945,58.9900016784668,55.0,58.0,108
2025-08-06,58.0,58.9900016784668,56.0,57.0,19323
2025-08-07,57.0,67.0,58.95000076293945,67.0,2655
2025-08-08,67.0,76.0,70.0,76.0,1195
2025-08-11,76.0,77.94999694824219,75.0,75.0,6988
2025-08-12,75.0,77.94999694824219,66.0,75.0,2516
2025-08-13,75.0,77.55000305175781,75.0,75.0,12198
2025-08-14,75.0,72.5,69.98999786376953,70.98999786376953,10
2025-08-15,70.98999786376953,70.0,69.0,69.0,5587
2025-08-19,69.0,78.0,70.0,78.0,5596
2025-08-20,78.0,85.0,78.0,85.0,2191
2025-08-21,87.0,90.0,80.0,87.0,65
2025-08-22,87.0,93.0,90.0,87.0,47
2025-08-25,87.0,95.0,88.0,95.0,2000
2025-08-26,95.0,102.0,95.0,96.0,2100
2025-08-27,96.0,102.0,102.0,102.0,50
2025-08-28,102.0,102.0,101.9800033569336,102.0,1749
2025-08-29,102.0,110.0,109.0,109.0,10
2025-09-01,109.0,110.0,109.0,110.0,2000
2025-09-02,110.0,127.0,110.0,120.0,3438
2025-09-03,120.0,125.0,120.0,125.0,1309
2025-09-04,125.0,127.0,120.0,127.0,90
2025-09-05,127.0,135.0,134.97000122070312,135.0,453
2025-09-08,135.0,139.9499969482422,135.0,139.9499969482422,1495
2025-09-09,139.9499969482422,134.3000030517578,111.95999908447266,133.0,714
2025-09-10,133.0,133.0,115.0,130.0,1000
2025-09-11,130.0,130.0,125.0,130.0,91
2025-09-12,130.0,130.0,123.0,130.0,1000
2025-09-16,130.0,130.0,120.0,129.99000549316406,128
2025-09-17,129.99000549316406,124.98999786376953,122.0,129.99000549316406,805
2025-09-18,129.99000549316406,130.0,108.0,129.99000549316406,14
2025-09-19,129.99000549316406,145.0,110.0,129.99000549316406,2404
2025-09-22,129.99000549316406,125.0,110.0,119.94000244140625,423
2025-09-23,119.94000244140625,140.0,110.0,140.0,584
2025-09-24,140.0,167.0,167.0,140.0,250
2025-09-25,140.0,163.0,155.0,155.0,64
2025-09-26,155.0,174.0,167.0,170.0,245
2025-09-29,170.0,169.0,169.0,170.0,55
2025-09-30,109.0,110.0,109.0,110.0,2000
2025-10-01,174.5,173.0,169.35000610351562,169.35000610351562,178
2025-10-02,169.35000610351562,170.0,140.0,150.0,273
2025-10-03,150.0,169.89999389648438,160.0,169.89999389648438,152
2025-10-06,169.89999389648438,165.0,163.5,164.0,106
2025-10-07,164.0,163.0,163.0,164.0,4
2025-10-08,164.0,150.0,147.0,147.0,327
2025-10-09,147.0,160.0,135.9499969482422,137.0,399
2025-10-10,137.0,163.0,160.0,137.0,33
2025-10-13,137.0,162.94000244140625,137.0,160.89999389648438,101
2025-10-14,160.89999389648438,163.0,162.97999572753906,163.0,115
2025-10-15,163.0,159.9499969482422,131.0,159.9499969482422,166
2025-10-16,159.9499969482422,164.0,155.0,159.9499969482422,114
2025-10-17,159.9499969482422,159.9499969482422,136.0,159.0,2292
2025-10-20,159.0,159.0,159.0,159.0,0
2025-10-21,159.0,165.0,159.5,160.0,922
2025-10-22,160.0,159.99000549316406,159.9499969482422,159.99000549316406,103
2025-10-23,159.99000549316406,171.60000610351562,156.0,159.99000549316406,1795
2025-10-24,159.99000549316406,171.60000610351562,160.0,160.0,321
2025-10-27,160.0,171.60000610351562,171.60000610351562,160.0,34
2025-10-28,160.0,171.60000610351562,160.0,160.0,20
2025-10-29,160.0,171.0,171.0,160.0,23
2025-10-30,160.0,170.0,160.0,160.0,132
2025-10-31,160.0,170.99000549316406,169.7899932861328,169.94000244140625,257
2025-11-03,169.94000244140625,175.0,140.0,169.94000244140625,46
2025-11-04,169.94000244140625,173.7899932861328,170.0,170.0,138
2025-11-05,170.0,171.99000549316406,170.0,171.99000549316406,20500
2025-11-06,171.99000549316406,170.97999572753906,142.0,147.0,10000
2025-11-07,147.0,170.85000610351562,145.0,164.99000549316406,1345
2025-11-10,164.99000549316406,165.0,158.99000549316406,160.0,1849
2025-11-11,160.0,150.0,146.0,149.0,2320
