Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2022-12-05,-440.06048583984375,-440.06048583984375,-440.06048583984375,-440.06048583984375,81100
2022-12-06,-440.06048583984375,-440.06048583984375,-440.06048583984375,-440.06048583984375,816100
2022-12-07,-440.06048583984375,-440.06048583984375,-440.06048583984375,-440.06048583984375,13800
2022-12-08,-406.209716796875,-406.209716796875,-406.209716796875,-406.209716796875,153069000
2022-12-09,-426.5201721191406,-426.5201721191406,-426.5201721191406,-426.5201721191406,572757100
2022-12-13,-433.2903747558594,-433.2903747558594,-433.2903747558594,-433.2903747558594,188100
2022-12-14,-433.2903747558594,-433.2903747558594,-433.2903747558594,-433.2903747558594,88456100
2022-12-15,-429.228271484375,-429.228271484375,-429.228271484375,-429.228271484375,178000
2022-12-16,-425.1661376953125,-425.1661376953125,-425.1661376953125,-425.1661376953125,82500
2022-12-19,-450.21575927734375,-450.21575927734375,-450.21575927734375,-450.21575927734375,3753300
2022-12-20,-429.9053039550781,-429.9053039550781,-429.9053039550781,-429.9053039550781,6700
2022-12-21,-426.5201721191406,-426.5201721191406,-426.5201721191406,-426.5201721191406,42900
2022-12-22,-419.75,-419.75,-419.75,-419.75,2200
2022-12-23,-429.228271484375,-429.228271484375,-429.228271484375,-429.228271484375,5900
2022-12-26,-487.4516296386719,-487.4516296386719,-487.4516296386719,-487.4516296386719,4122700
2022-12-27,-642.48828125,-642.48828125,-642.48828125,-642.48828125,4378200
2022-12-28,-670.2459716796875,-670.2459716796875,-670.2459716796875,-670.2459716796875,164500
2022-12-29,-670.2459716796875,-670.2459716796875,-670.2459716796875,-670.2459716796875,0
2022-12-30,-670.2459716796875,-670.2459716796875,-670.2459716796875,-670.2459716796875,0
2023-01-02,-666.8609619140625,-666.8609619140625,-666.8609619140625,-666.8609619140625,54000
2023-01-03,-643.1653442382812,-643.1653442382812,-643.1653442382812,-643.1653442382812,47600
2023-01-04,-602.54443359375,-602.54443359375,-602.54443359375,-602.54443359375,177100
2023-01-05,-162.48388671875,-162.48388671875,-162.48388671875,-162.48388671875,102600
2023-01-06,-161.80686950683594,-161.80686950683594,-161.80686950683594,-161.80686950683594,224500
2023-01-10,-153.6826934814453,-153.6826934814453,-153.6826934814453,-153.6826934814453,230500
2023-01-11,-151.65162658691406,-151.65162658691406,-151.65162658691406,-151.65162658691406,463000
2023-01-12,-147.58953857421875,-147.58953857421875,-147.58953857421875,-147.58953857421875,688500
2023-01-13,-148.94354248046875,-148.94354248046875,-148.94354248046875,-148.94354248046875,81300
2023-01-16,-142.17340087890625,-142.17340087890625,-142.17340087890625,-142.17340087890625,420400
2023-01-17,-139.46533203125,-139.46533203125,-139.46533203125,-139.46533203125,523000
2023-01-18,-139.46533203125,-139.46533203125,-139.46533203125,-139.46533203125,342900
2023-01-19,-138.78831481933594,-138.78831481933594,-138.78831481933594,-138.78831481933594,5679600
2023-01-20,-138.78831481933594,-138.78831481933594,-138.78831481933594,-138.78831481933594,172500
2023-01-23,-126.60202789306639,-126.60202789306639,-126.60202789306639,-126.6020278930664,795300
2023-01-24,-121.86290740966797,-121.86290740966797,-121.86290740966797,-121.86290740966797,903000
2023-01-25,-110.35365295410156,-110.35365295410156,-110.35365295410156,-110.35365295410156,3229500
2023-01-26,-115.76976776123047,-115.76976776123047,-115.76976776123047,-115.76976776123047,8677200
2023-01-27,-127.27904510498047,-127.27904510498047,-127.27904510498047,-127.27904510498047,22379500
2023-01-30,-129.31007385253906,-129.31007385253906,-129.31007385253906,-129.31007385253906,17736600
2023-01-31,-141.4963836669922,-141.4963836669922,-141.4963836669922,-141.4963836669922,1535300
2023-02-01,-138.11129760742188,-138.11129760742188,-138.11129760742188,-138.11129760742188,553100
2023-02-02,-140.14234924316406,-140.14234924316406,-140.14234924316406,-140.14234924316406,61488300
2023-02-03,-138.78831481933594,-138.78831481933594,-138.78831481933594,-138.78831481933594,400600
2023-02-06,-135.4032440185547,-135.4032440185547,-135.4032440185547,-135.4032440185547,8859100
2023-02-07,-138.11129760742188,-138.11129760742188,-138.11129760742188,-138.11129760742188,102870600
2023-02-08,-141.4963836669922,-141.4963836669922,-141.4963836669922,-141.4963836669922,773400
2023-02-09,-140.14234924316406,-140.14234924316406,-140.14234924316406,-140.14234924316406,1045200
2023-02-10,-142.17340087890625,-142.17340087890625,-142.17340087890625,-142.17340087890625,101161100
2023-02-13,-142.17340087890625,-142.17340087890625,-142.17340087890625,-142.17340087890625,1055300
2023-02-14,-142.17340087890625,-142.17340087890625,-142.17340087890625,-142.17340087890625,27631200
2023-02-15,-146.91250610351562,-146.91250610351562,-146.91250610351562,-146.91250610351562,34815800
2023-02-16,-146.91250610351562,-146.91250610351562,-146.91250610351562,-146.91250610351562,124800
2023-02-17,-142.17340087890625,-142.17340087890625,-142.17340087890625,-142.17340087890625,6989100
2023-02-22,-146.91250610351562,-146.91250610351562,-146.91250610351562,-146.91250610351562,1768100
2023-02-23,-148.2665252685547,-148.2665252685547,-148.2665252685547,-148.2665252685547,11705200
