Fecha,ABC.A,ARC.B,BNC,BPV,BVCC,BVL,CCP.B,CCR,CGQ,CRM.A,DOM,EFE,ENV,FNC,GMC.B,GZL,ICP.B,IMP.B,IVC.A,IVC.B,MPA,MTC.B,MVZ.A,MVZ.B,PCP.B,PGR,PIV.B,PTN,RFM,RST,RST.B,SVS,TDV.D,TPG
2025-11-18,87071.2,6298.0,668681.81,4641708.13,4063500.96,586162.49,163815.22,32790.0,38985.0,338203.0,598091.4,61033.0,53524.5,56285.85,63750.0,15984.0,118137.86,,31898.69,1166470.85,125969.39,54118.27,92343.73,116104.0,401941.63,348201.3,146000.0,122109.5,15008.0,560499.85,415348.94,79635.22,168274.8,198214.8
2025-11-19,441800.78,3150.0,762834.84,5163007.39,744581.8,147777.21,89765.24,70000.0,234007.06,69222.8,81220.79,64482.5,454624.23,24219.72,45900.0,18937.54,30048.84,,46942.45,85399.3,129143.35,116894.22,202369.03,150459.97,74210.67,100830.0,5320000.0,65936.0,,215831.5,228128.72,18814.55,179479.05,199670.56
2025-11-20,765594.0,3520.08,624829.1,2785483.49,5032176.11,277896.0,48231.82,56000.0,16609.0,81545.8,73137.0,28014.0,13274.87,21947.8,32850.0,49954.99,15564.54,,1884.99,444970.0,7863804.0,15362.23,325198.93,181618.8,61604.17,37853.17,67000.0,195013.6,225698.45,247885.23,267395.4,93624.32,94194.21,
2025-11-21,129009.0,5040.0,237352.14,4418523.26,3909320.37,164011.75,17963.75,133400.0,3930.0,29262.7,433862.13,34112.35,5192844.0,19854.0,17550.0,44832.0,34942.86,,18476.98,79175.0,59863.9,20064.01,175794.74,169224.46,52252.93,63793.11,26600.0,105805.0,318644.93,33564.52,110196.38,369935.25,130371.33,
2025-11-25,120630.58,10400.0,1259059.3,3160147.87,3997092.58,823203.98,196546.48,20969.0,43601.0,34773.95,77232.05,92536.4,26053.0,10000.0,8649.2,12512.32,17163.7,,73989.41,357775.95,11588.68,319668.7,96573.0,64494.06,76897.64,13101.0,626457.15,229640.05,251217.97,46083.96,406691.15,195952.2,,
2025-11-27,24398.34,1915.0,2807272.21,14062400.29,9314917.87,848781.26,134494.39,1572200.0,3649.99,22650.0,34377.25,27291.0,85219.2,13351.16,23400.0,31317.0,4024.86,,101785.0,76142.67,11044.29,655837.19,707714.11,44390.07,93509.64,130085.0,131660.5,813637.19,1568025.36,29335.51,1230828.5,53965.13,,
2025-11-28,1770640.0,2275.0,5321519.1,1868386.92,24276527.18,650855.0,49685.51,1560575.0,17600.0,4150.0,68082.0,62995.74,122102.47,31098.0,36400.0,7127.35,3508.65,,12599.7,46481.79,91590.54,10727.08,667075.1,2667260.23,80802.41,87785.86,390000.0,324708.55,690581.6,128086.53,1921157.66,1439432.11,167810.17,
2025-12-01,166685.05,47450.0,374690.26,1069257.24,542646.7,163408.73,203708.83,76499.0,31443.24,23872.65,19665.0,57955.3,30141.81,110050.76,21200.0,6550.5,21223.72,,34813.06,26250.0,176265.6,11985.2,93001.9,39374.95,49601.6,74807.94,94500.0,51536.0,466634.77,111330.45,715684.5,670920.5,108903.98,
2025-12-02,52070.5,2600.1,2635714.13,2213429.88,2641607.79,714735.0,384557.38,75000.0,43040.54,40089.0,31738.65,45284.91,8189.76,10421.9,79500.0,31609.0,5866.48,,17006.83,83857.2,1395508.0,32865.61,344447.19,146774.49,185799.14,1867822.28,231000.0,85038.0,1264850.46,145474.82,350096.0,110427.1,323979.1,
2025-12-03,43945.0,16644.88,272269.04,40927337.55,7718750.98,1322199.09,203434.46,291900.0,4699.45,12819.15,16829.07,42992.9,31932.85,16748.1,18549.9,12056.5,65422.67,,17777.92,18396.0,70477.9,12930.51,143700.0,44969.49,31698.13,38791.76,67500.0,29956.39,1083192.46,246937.8,155170.0,481129.3,169002.45,
