Fecha,ABC.A,ARC.B,BNC,BPV,BVCC,BVL,CCP.B,CCR,CGQ,CRM.A,DOM,EFE,ENV,FNC,GMC.B,GZL,ICP.B,IMP.B,IVC.A,IVC.B,MPA,MTC.B,MVZ.A,MVZ.B,PCP.B,PGR,PIV.B,PTN,RFM,RST,RST.B,SVS,TDV.D,TPG
2025-11-18,279,20,1530,81286,29545,2002,3254,4.0,105,2285,4592,1668,235,604,25.0,130,7470,,68,7770,7710,711,67,90,3909,7630,11.0,697,1072.0,7864,6375,1048,1132.0,26720.0
2025-11-19,1539,10,1756,91557,5415,520,1853,10.0,597,428,591,1719,2227,261,18.0,166,2152,,103,578,7915,1484,143,113,717,2149,380.0,382,,3005,3410,244,1191.0,27836.0
2025-11-20,2991,14,1428,49223,36358,982,1007,8.0,41,513,554,740,58,258,13.0,443,932,,4,3067,523918,208,235,131,608,798,5.0,1178,3181.0,3794,3560,668,12360.0,
2025-11-21,451,16,547,81400,27327,591,360,19.0,10,212,3313,922,23386,251,7.0,401,2305,,43,544,3753,261,127,128,549,1360,2.0,652,4431.0,505,1519,2728,17986.0,
2025-11-25,424,32,2916,58551,28770,2975,4205,57.0,320,247,1958,417,334,4,81.0,835,39,,510,22234,148,231,69,685,1643,1,3386.0,3257,3987.0,611,3171,27490,,
2025-11-26,518,17,612,846127,933083,2160,10323,2.0,144,397,332,575,5145,979,2.0,50358,1351,,29,104,33368,244,117,68,459,1052,2.0,1235,4922.0,5519,346,4621,21666.0,21666.0
2025-11-27,85,6,6804,274914,69587,3129,3263,231.0,9,151,237,752,384,176,9.0,293,262,,689,4894,144,501,543,444,2019,10,827.0,12078,21343.0,381,9309,7859,,
2025-11-28,6412,7,12478,34318,172012,2363,1117,228.0,44,25,484,1733,576,427,14.0,66,217,,30,312,5927,138,505,1930,801,1906,35.0,2084,10118.0,2042,30721,11960,25196.0,
2025-12-01,565,146,877,19549,3903,584,4492,8.0,84,144,136,1606,141,1587,8.0,59,1457,,89,175,11042,157,68,30,533,1629,7.0,307,6738.0,1698,9072,5355,16831.0,
2025-12-02,182,11,6389,42263,20117,2643,9275,9.0,120,244,229,1270,32,147,30.0,298,387,,46,628,87817,437,259,113,1937,40332,21.0,533,19443.0,2326,4031,853,52096.0,
2025-12-03,155,49,648,737527,55905,4843,6261,42.0,12,77,120,1193,150,214,7.0,112,4984,,50,123,4460,172,110,33,322,771,5.0,189,16548.0,3924,1516,3888,25851.0,
2025-12-04,669,4,2369,24834,48685,3009,1752,,95,8,204,2483,361,108,29.0,323,1707,,76,193,2451,406,55,75,781,169189,11.0,2173,6880.0,977,252,4694,6445.0,
2025-12-05,415,5,3935,246080,19376,824,2328,1.0,144,88,160,1233,417,317,,200,2634,,11,268,23908,193,71,15,175,758,21.0,115,10579.0,3786,1517,1919,6418.0,
2025-12-09,595,14,1304,132445,45257,4520,51653,36.0,20,187,582,1269,917,292,12.0,170,2233,,12,399,5801,1865,276,29,349,990,4.0,1904,6169.0,2469,605,1734,11482.0,40.0
2025-12-10,404,3,894,13729,17386,1435,5364,32.0,101,68,359,2188,119,98,30.0,148,1009,,15,25,31,1974,269,284,258,567,1555.0,802,2954.0,2146,379,5427,22252.0,
2025-12-11,173,,873,133512,76197,2350,2427,8,32,878,615,1089,276,133,11,235,437,,24,1281,79157,70,608,67,485,739,1154,2071,556,953,9487,11590,20.0,2.0
2025-12-12,555,5,2083,11395,5105,688,2735,50.0,15,2210,2115,1072,180,58,4.0,200,435,15.0,145,2001,160429,91,729,45,226,2224,,930,,4663,2101,2582,2384.0,40976.0
2025-12-15,556,11430.0,903,40332,98205,1810,1324,32,64,246,2787,2461,527,206,13,236,1871,24.0,92,3428,7156,185,69,68,925,2230,1729,15289,1283,1050,478,43496,,5.0
2025-12-16,387,508.0,3079,26718,84197,3320,1457,22,66,875,84,2171,278,215,21,95,2214,,93,48,18327,405,537,150,225,4863,700,3635,2263,2556,3031,12594,,20.0
2025-12-17,574,5.0,18730,68368,58450,273,2197,104,154,214,132,1385,109,193,15,120,2245,,31,24778,14607,320,197,11,902,1883,493,15215,16625,2508,945,14256,,1.0
2025-12-18,875,14.0,3055,68872,37869,7157,1003,49,117,344,352,685,116,191,1,222,,,4001,6749,1008,290,141,61,753,731,1688,30075,8478,4172,2819,12514,,12.0
2025-12-19,643,16.0,3132,1297465,7927,6812,2378,54,47,20,1089,3624,2687,514,21,294,1023.0,40.0,48,621,10757,622,233,573,1886,5165,1297,2204859,1853,2812,881,13332,,17.0
2025-12-22,748,,1635,140348,869416,7299,2163,98,138,638,1576,1369,1734,52,35,164,2548.0,,428,50197,16123,915,474,661,929,3597,1675,3898,1019,55871,35400,7152,,2082.0
2025-12-23,152,2250.0,1583,70648,27464,1241,3702,69,62,967,216,850,2370,76,6,253,323.0,,30,6154,7358,491,16991,223,1222,517,198,10488,733,409,1941,18694,,14.0
2025-12-26,174,27.0,788,652735,97630,36208,2049,80,75,1639,20573,2222,24771,125,,37,2036.0,,100,510617,115848,193,286,40960,1145,5558,1089,36598,2223,93339,20549,29080,,116.0
