Moneda,Tasa (Bs/USD),Fecha Extracción
USD,232.9734,2025-11-17
USD,240.3209,2025-11-18
USD,240.3209,2025-11-19
USD,240.3209,2025-11-20
USD,241.578,2025-11-21
USD,243.1105,2025-11-25
USD,244.6504,2025-11-26
USD,244.6504,2025-11-27
USD,245.6697,2025-11-28
USD,247.3003,2025-12-01
USD,247.4071,2025-12-02
USD,249.1989,2025-12-03
USD,251.8867,2025-12-04
USD,257.9287,2025-12-05
USD,262.1036,2025-12-09
USD,262.1036,2025-12-10
USD,265.0662,2025-12-11
USD,267.7499,2025-12-12
USD,270.7893,2025-12-15
USD,273.5861,2025-12-16
USD,276.5769,2025-12-17
USD,279.5629,2025-12-18
USD,285.4024,2025-12-19
USD,285.4024,2025-12-22
USD,291.3524,2025-12-23
USD,291.3524,2025-12-26
