Fecha,ABC.A,ARC.B,BNC,BPV,BVCC,BVL,CCP.B,CCR,CGQ,CRM.A,DOM,EFE,ENV,FNC,GMC.B,GZL,ICP.B,IMP.B,IVC.A,IVC.B,MPA,MTC.B,MVZ.A,MVZ.B,PCP.B,PGR,PIV.B,PTN,RFM,RST,RST.B,SVS,TDV.D,TPG
2025-11-18,299.99,300.0,433.0,57.8,138.97,271.03,49.99,8195.0,380.0,165.0,139.99,38.5,229.0,97.0,2550.0,120.0,14.01,,470.0,149.93,16.5,78.0,1400.0,1300.0,110.0,46.0,14000.0,175.0,14.0,71.0,67.0,77.0,140.0,7.5
2025-11-19,290.0,315.0,440.0,56.99,138.82,284.0,48.45,7000.0,378.0,159.4,135.0,38.0,233.0,90.0,2550.0,113.99,16.48,,465.0,150.0,16.0,79.0,1419.99,1419.99,104.99,47.95,14000.0,170.0,,72.0,66.9,77.0,141.0,7.0
2025-11-20,295.0,315.0,437.0,61.95,144.5,282.0,48.0,7000.0,409.0,158.9,132.0,37.0,224.99,84.9,2550.0,113.0,16.99,,470.0,160.0,15.8,63.0,1419.97,1419.89,101.99,46.99,13500.0,162.0,,71.99,61.1,76.99,136.0,7.5
2025-11-21,285.0,315.0,434.95,56.25,144.95,280.0,50.0,7000.0,400.0,158.75,110.0,38.0,225.0,72.0,2550.0,110.0,16.89,,444.0,150.0,15.95,78.18,1414.98,1399.98,93.99,46.97,13100.0,156.0,71.9,65.0,74.99,130.0,6.9,
2025-11-25,270.0,325.0,430.0,54.7,135.0,270.0,44.79,0.0,410.0,160.0,149.0,37.5,221.99,73.0,2400.0,107.0,15.0,,436.0,148.94,16.0,78.79,1390.0,1399.0,90.0,46.99,13101.0,175.0,71.5,62.75,78.9,125.0,6.8,7200.6
2025-11-27,280.01,290.0,429.0,55.4,138.94,282.0,44.48,8200.0,400.0,150.0,143.0,36.0,221.0,74.0,2600.0,107.0,15.0,,150.0,15.85,77.98,1349.99,1382.39,104.99,46.3,13495.0,165.0,69.0,63.79,77.0,125.0,6.65,,
2025-11-28,295.0,325.0,429.0,54.4,139.0,280.0,44.0,9000.0,400.0,170.0,140.0,36.5,216.99,80.0,2600.0,107.99,16.14,,419.99,148.95,15.5,77.27,1344.99,1381.99,99.0,48.5,13500.0,160.0,68.75,63.8,77.0,127.9,6.65,
2025-12-01,285.01,325.0,427.9,54.5,138.0,280.0,44.0,9500.0,400.0,167.4,140.0,36.0,225.0,70.0,2650.0,108.0,13.99,,352.01,150.0,15.9,77.0,1350.0,1300.0,99.0,44.5,13500.0,162.0,69.95,65.95,84.9,130.0,6.5,
2025-12-02,280.0,325.0,423.0,52.97,138.95,274.0,42.0,8000.0,350.0,160.0,142.0,35.9,240.0,70.0,2650.0,106.0,15.0,,398.99,150.0,15.0,65.0,1344.99,1200.0,98.0,50.0,13500.0,160.0,68.0,64.99,90.0,129.95,6.5,
2025-12-03,275.0,335.0,420.0,55.0,138.0,279.0,40.0,6500.0,389.95,160.0,133.0,36.0,191.0,80.0,2649.99,107.0,14.4,,394.0,147.0,15.9,75.0,1300.0,1369.98,97.95,48.5,13500.0,160.0,67.9,64.99,105.0,129.95,6.8,
2025-12-04,290.0,350.0,412.5,53.5,137.0,279.0,40.0,,380.0,166.5,140.0,36.5,223.0,85.0,2650.0,99.0,14.43,,350.0,145.0,15.5,74.98,1339.99,1339.0,94.0,49.8,13500.0,160.0,66.0,64.0,110.0,127.89,6.5,
2025-12-05,290.0,350.0,414.0,50.0,141.0,284.9,40.0,8000.0,384.99,166.0,139.99,35.5,219.99,88.0,99.0,13.5,398.99,,144.9,15.94,73.99,1345.99,1339.45,99.0,49.4,14000.0,160.0,66.7,64.5,114.0,129.8,6.95,,
2025-12-09,288.0,300.0,409.89,50.0,137.0,280.0,38.98,6000.0,375.0,174.0,139.0,39.0,218.0,94.0,99.0,14.2,305.0,,144.89,16.5,73.09,1448.49,1299.99,99.0,49.99,13000.0,167.5,66.69,64.0,134.0,127.5,6.8,2500.0,1800.0
2025-12-10,288.0,350.0,398.9,51.9,135.0,279.95,38.84,6000.0,374.99,172.0,137.99,38.9,217.9,89.49,2650.0,99.0,14.2,,2000.01,306.0,149.0,16.85,71.99,1300.0,1295.49,106.0,49.95,157.0,69.0,65.0,149.85,125.0,6.2,
2025-12-11,280.0,,395.0,51.0,136.99,279.95,38.95,6000.0,374.99,172.0,137.95,37.0,215.0,92.0,2750.0,99.0,15.98,,340.0,145.0,16.15,70.0,1299.99,1294.5,125.0,49.9,155.0,67.0,64.1,165.0,120.0,5.99,15.0,13000.0
2025-12-12,290.0,310.0,394.95,50.7,137.98,278.95,39.9,5600.0,374.99,155.0,134.99,38.9,215.0,92.0,2700.0,99.0,15.95,2000.01,340.0,144.99,16.98,71.99,1295.0,1294.44,140.0,49.0,,149.99,,67.0,66.97,162.5,123.75,5.89
2025-12-15,280.0,355.0,390.0,49.8,139.92,270.0,39.0,5000.0,374.98,179.49,121.0,38.68,210.0,92.0,2550.0,99.0,15.9,2000.01,380.0,143.99,16.25,71.95,1293.99,1293.0,142.89,49.15,142.0,66.5,66.8,165.0,124.95,5.79,,13000.0
2025-12-16,280.0,439.95,393.5,49.09,139.65,278.0,39.0,5975.0,374.9,159.99,134.0,36.98,220.5,98.0,2750.0,99.0,16.5,,380.0,144.98,16.49,71.95,1280.0,1291.99,119.0,47.0,154.99,66.9,64.49,165.0,124.86,5.8,,13000.0
2025-12-17,290.0,439.95,390.0,48.0,138.99,278.8,38.44,4989.0,400.0,169.98,134.5,36.89,220.89,99.0,2750.0,98.0,16.9,,370.0,144.98,17.5,71.0,1274.95,1265.0,105.01,46.99,154.0,66.99,64.24,165.0,124.79,5.82,,13599.99
2025-12-18,290.0,445.0,410.0,55.0,141.0,297.0,38.4,4001.0,419.0,169.97,150.0,36.79,220.89,100.0,2750.0,99.0,,,379.0,135.0,17.35,71.95,1286.99,1350.0,105.0,46.5,154.9,68.0,67.98,167.7,124.8,5.81,,13600.0
2025-12-19,315.0,445.0,440.0,52.49,149.99,299.99,38.34,3998.0,400.0,169.97,170.0,40.0,235.0,98.0,2750.0,109.0,17.4,2100.0,370.0,142.0,18.0,71.96,1398.99,1244.99,125.0,47.0,169.0,75.0,69.0,179.99,145.0,6.1,,12600.0
2025-12-22,316.0,,440.0,49.5,159.75,299.7,38.29,3600.0,422.0,169.96,169.9,42.0,250.0,98.0,2750.0,130.0,18.85,,371.0,142.0,18.75,71.5,1399.99,1324.5,125.0,48.0,169.0,75.0,68.0,185.0,144.99,6.45,,14959.0
