Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2020-12-02,-1285.59326171875,-1285.59326171875,-1285.59326171875,-1285.59326171875,150344
2020-12-03,-1285.59326171875,-1285.59326171875,-1285.59326171875,-1285.59326171875,0
2020-12-04,-1285.59326171875,-1285.59326171875,-1285.59326171875,-1285.59326171875,0
2020-12-07,-1542.7119140625,-1542.7119140625,-1542.7119140625,-1542.7119140625,400
2020-12-08,-1542.7119140625,-1542.7119140625,-1542.7119140625,-1542.7119140625,0
2020-12-09,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,176
2020-12-10,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,8
2020-12-11,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,22
2020-12-15,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,424
2020-12-16,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,0
2020-12-17,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,-1845.3489990234375,2646
2020-12-18,-1968.310791015625,-1968.310791015625,-1968.310791015625,-1968.310791015625,774
2020-12-21,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,146908
2020-12-22,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2020-12-23,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2020-12-28,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2020-12-29,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2020-12-30,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-04,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-05,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-06,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-07,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-08,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-12,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-13,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-14,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-15,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-19,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-20,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-21,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-22,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-25,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-26,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-27,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-28,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
2021-01-29,-1999.128173828125,-1999.128173828125,-1999.128173828125,-1999.128173828125,0
