Date,Precio_Inicio,Alto,Bajo,Precio_Cierre,Volumen
2022-12-19,-450.21575927734375,-450.21575927734375,-450.21575927734375,-450.21575927734375,3753300
2022-12-20,-429.9053039550781,-429.9053039550781,-429.9053039550781,-429.9053039550781,6700
2022-12-21,-426.5201721191406,-426.5201721191406,-426.5201721191406,-426.5201721191406,42900
2022-12-22,-419.75006103515625,-419.75006103515625,-419.75006103515625,-419.75006103515625,2200
2022-12-23,-429.22821044921875,-429.22821044921875,-429.22821044921875,-429.22821044921875,5900
2022-12-26,-487.4516296386719,-487.4516296386719,-487.4516296386719,-487.4516296386719,4122700
2022-12-27,-642.4884033203125,-642.4884033203125,-642.4884033203125,-642.4884033203125,4378200
2022-12-28,-670.2460327148438,-670.2460327148438,-670.2460327148438,-670.2460327148438,164500
2022-12-29,-670.2460327148438,-670.2460327148438,-670.2460327148438,-670.2460327148438,0
2022-12-30,-670.2460327148438,-670.2460327148438,-670.2460327148438,-670.2460327148438,0
2023-01-02,-666.8609619140625,-666.8609619140625,-666.8609619140625,-666.8609619140625,54000
2023-01-03,-643.1653442382812,-643.1653442382812,-643.1653442382812,-643.1653442382812,47600
2023-01-04,-602.54443359375,-602.54443359375,-602.54443359375,-602.54443359375,177100
2023-01-05,-162.48388671875,-162.48388671875,-162.48388671875,-162.48388671875,102600
2023-01-06,-161.80686950683594,-161.80686950683594,-161.80686950683594,-161.80686950683594,224500
2023-01-10,-153.68267822265625,-153.68267822265625,-153.68267822265625,-153.68267822265625,230500
2023-01-11,-151.651611328125,-151.651611328125,-151.651611328125,-151.651611328125,463000
2023-01-12,-147.58953857421875,-147.58953857421875,-147.58953857421875,-147.58953857421875,688500
2023-01-13,-148.9435577392578,-148.9435577392578,-148.9435577392578,-148.9435577392578,81300
2023-01-16,-142.1733856201172,-142.1733856201172,-142.1733856201172,-142.1733856201172,420400
2023-01-17,-139.46533203125,-139.46533203125,-139.46533203125,-139.46533203125,523000
2023-01-18,-139.46533203125,-139.46533203125,-139.46533203125,-139.46533203125,342900
2023-01-19,-138.78831481933594,-138.78831481933594,-138.78831481933594,-138.78831481933594,5679600
2023-01-20,-138.78831481933594,-138.78831481933594,-138.78831481933594,-138.78831481933594,172500
2023-01-23,-126.60201263427734,-126.60201263427734,-126.60201263427734,-126.60201263427734,795300
2023-01-24,-121.86290740966797,-121.86290740966797,-121.86290740966797,-121.86290740966797,903000
2023-01-25,-110.3536376953125,-110.3536376953125,-110.3536376953125,-110.3536376953125,3229500
2023-01-26,-115.76976776123047,-115.76976776123047,-115.76976776123047,-115.76976776123047,8677200
